id,value
skills,
skills.work
skills.work.programming,
skills.work.programming.java,100
skills.work.programming.python,70
skills.work.programming.Scala,30
skills.scps,
skills.scps.scripting,
skills.scps.scripting.shell,80
skills.scps.scripting.JS,90
skills.scps.scripting.Jquery,70
skills.scps.scripting.CSS,50
skills.scps.scripting.HTML5,90
skills.scps.scripting.SASS,10
skills.scps.scripting.reactJS,30
skills.scps.scripting.YAML,70
skills.scps.scripting.C3,90
skills.scps.scripting.D3,50
skills.dps,
skills.dps.devops,
skills.dps.devops.Ansible,80
skills.dps.devops.Docker,40
skills.dps.devops.DockerCompose,70
skills.dps.devops.Chef,5
skills.dps.devops.Networking,45
skills.dps.devops.Vagrant,10
skills.dps.devops.Vagrant,10
skills.fm,
skills.fm.framworks,
skills.fm.framworks.ElasticSearch,70
skills.fm.framworks.AngularJs,60
skills.fm.framworks.DropWizard,50
skills.fm.framworks.APIPorgamming,80
skills.tls,
skills.tls.tools,
skills.tls.tools.Logstash,90
skills.tls.tools.Filebeat,90
skills.tls.tools.Kibana,70
skills.tls.tools.ETL,60
skills.tls.tools.Log4j,80
skills.dbs,
skills.dbs.databases,
skills.dbs.databases.Mongodb,70
skills.dbs.databases.SQL,90
skills.dbs.databases.HDFS,90
skills.personal,
skills.personal.blogging,40
skills.personal.socalmedia,70
